symbol,index,security,status,reason,rows,start,end
ENR,S&P 600,Energizer,OK,,899,2023-01-13,2026-08-19
ENS,S&P 400,EnerSys,OK,,902,2023-01-13,2026-08-19
ENSG,S&P 400,Ensign Group,OK,,902,2023-01-13,2026-08-19
ENTG,S&P 400,Entegris,OK,,902,2023-01-13,2026-08-19
ENVA,S&P 600,"Enova International, Inc.",OK,,899,2023-01-13,2026-08-19
EPAC,S&P 600,Enerpac Tool Group,OK,,902,2023-01-13,2026-08-19
EPAM,S&P 600,EPAM Systems,OK,,899,2023-01-13,2026-08-19
EPC,S&P 600,Edgewell Personal Care,OK,,899,2023-01-13,2026-08-19
EPR,S&P 400,EPR Properties,OK,,902,2023-01-13,2026-08-19
EPRT,S&P 600,"Essential Properties Realty Trust, Inc.",OK,,900,2023-01-13,2026-08-19
EQH,S&P 400,Equitable Holdings,OK,,902,2023-01-13,2026-08-19
ESAB,S&P 400,ESAB,OK,,899,2023-01-13,2026-08-19
ESE,S&P 600,ESCO Technologies Inc.,OK,,899,2023-01-13,2026-08-19
ESI,S&P 600,Element Solutions,OK,,899,2023-01-13,2026-08-19
ESNT,S&P 400,Essent Group Ltd.,OK,,899,2023-01-13,2026-08-19
ETSY,S&P 600,Etsy,OK,,899,2023-01-13,2026-08-19
EVR,S&P 400,Evercore,OK,,899,2023-01-13,2026-08-19
EVTC,S&P 600,"EVERTEC, Inc.",OK,,899,2023-01-13,2026-08-19
EWBC,S&P 400,East West Bancorp,OK,,902,2023-01-13,2026-08-19
EXEL,S&P 400,Exelixis,OK,,899,2023-01-13,2026-08-19
EXLS,S&P 400,EXL Service,OK,,902,2023-01-13,2026-08-19
EXP,S&P 400,Eagle Materials,OK,,899,2023-01-13,2026-08-19
EXPO,S&P 400,"Exponent, Inc.",OK,,902,2023-01-13,2026-08-19
EXTR,S&P 600,"Extreme Networks, Inc.",OK,,899,2023-01-13,2026-08-19
EYE,S&P 600,National Vision Holdings,OK,,902,2023-01-13,2026-08-19
EZPW,S&P 600,"EZCORP, Inc.",OK,,902,2023-01-13,2026-08-19
FA,S&P 600,First Advantage Corporation,OK,,902,2023-01-13,2026-08-19
FAF,S&P 400,First American Financial Corporation,OK,,899,2023-01-13,2026-08-19
FBIN,S&P 400,Fortune Brands Innovations,OK,,899,2023-01-13,2026-08-19
FBK,S&P 600,FB Financial Corp.,OK,,899,2023-01-13,2026-08-19
